Date,Open,High,Low,Close,Volume
29-11-1994,3.457677126,3.473684872,3.425661634,3.457677126,4401942
30-11-1994,3.457678941,3.505702204,3.441671187,3.473686695,4681705
01-12-1994,3.473684872,3.489692618,3.409653888,3.457677126,6474815
02-12-1994,3.441670625,3.505701632,3.409655122,3.48969388,8353963
05-12-1994,3.505700892,3.553724137,3.505700892,3.537716389,4789664
06-12-1994,3.489692841,3.521708335,3.457677348,3.505700588,4408245
07-12-1994,3.473684716,3.489692461,3.425661481,3.441669226,5522088
08-12-1994,3.409652869,3.457676092,3.329613828,3.377637386,7011871
09-12-1994,3.361632149,3.377639902,3.313608555,3.329616308,9827580
12-12-1994,3.329616011,3.345624097,3.297600508,3.297600508,6888567
13-12-1994,3.297598972,3.377638028,3.281591228,3.34562254,7944869
14-12-1994,3.361631632,3.393647133,3.329615796,3.361631632,6398915
15-12-1994,3.34562254,3.361630284,3.329614461,3.34562254,4855700
16-12-1994,3.361629645,3.393645127,3.329613828,3.377637386,11913605
19-12-1994,3.377639382,3.393647133,3.345623881,3.361631632,4843096
20-12-1994,3.345623881,3.377639382,3.329615796,3.361631632,4880087
21-12-1994,3.329615769,3.409654856,3.313608019,3.409654856,7188332
22-12-1994,3.425662279,3.473685526,3.361631284,3.425662279,9982942
23-12-1994,3.425661634,3.553723601,3.425661634,3.457677126,6017221
27-12-1994,3.489694464,3.553725481,3.489694464,3.553725481,4096697
28-12-1994,3.553724887,3.553724887,3.441670625,3.48969388,3345093
29-12-1994,3.489693441,3.569732189,3.489693441,3.569732189,4200272
30-12-1994,3.569732189,3.617755773,3.55372444,3.569732189,6704434
03-01-1995,3.585740273,3.601748023,3.425662442,3.569732189,5664298
04-01-1995,3.58574083,3.665779591,3.58574083,3.665779591,7163124
05-01-1995,3.697794551,3.713802301,3.537716718,3.633763552,9270247
06-01-1995,3.649771301,3.697794551,3.617755802,3.633763552,4497845
09-01-1995,3.64977119,3.713802187,3.63376344,3.697794437,6810201
10-01-1995,3.713802301,3.7458178,3.633763552,3.633763552,9240654
11-01-1995,3.665779051,3.665779051,3.569732218,3.633763552,5517978
12-01-1995,3.649770513,3.66577826,3.601747274,3.601747274,6770196
13-01-1995,3.617756334,3.665779591,3.617756334,3.665779591,4768840
16-01-1995,3.665779558,3.713802814,3.633764054,3.713802814,5727868
17-01-1995,3.681786299,3.697794046,3.649770804,3.681786299,5365355
18-01-1995,3.66577914,3.681786891,3.58574039,3.61775589,7362328
19-01-1995,3.569732456,3.681787047,3.489693702,3.521709204,6812941
20-01-1995,3.489691574,3.505699315,3.313606087,3.377637386,20386214
23-01-1995,3.297600295,3.361631632,3.233569293,3.361631632,22259334
24-01-1995,3.346756946,3.379093064,3.330589056,3.330589056,17840677
25-01-1995,3.298251751,3.411427266,3.298251751,3.379091501,9603989
26-01-1995,3.346757709,3.346757709,3.282086134,3.282086134,8363280
27-01-1995,3.314421921,3.330589815,3.26591824,3.282086134,7051602
30-01-1995,3.282084986,3.330588651,3.185077658,3.201245546,19513497
31-01-1995,3.233581051,3.282084711,3.201245278,3.265916824,12652331
01-02-1995,3.249751091,3.379094608,3.201247399,3.249751091,26224233
02-02-1995,3.265915862,3.314419508,3.217412217,3.314419508,11419842
03-02-1995,3.346756946,3.346756946,3.233581716,3.330589056,14949616
06-02-1995,3.33058739,3.33058739,3.282083744,3.314419508,10207081
07-02-1995,3.314421921,3.362925602,3.282086134,3.282086134,8387940
08-02-1995,3.298251867,3.31441975,3.249748218,3.298251867,8676471
09-02-1995,3.282084711,3.314420484,3.265916824,3.265916824,11529993
10-02-1995,3.282085609,3.346757174,3.265917718,3.346757174,11738787
13-02-1995,3.362924836,3.379093064,3.314421166,3.330589056,11361478
14-02-1995,3.330587516,3.379091501,3.298251751,3.379091501,8267103
15-02-1995,3.379091501,3.443763031,3.362923281,3.379091501,11382577
16-02-1995,3.395260958,3.411428848,3.36292484,3.391218901,5611141
17-02-1995,3.395260334,3.427596108,3.379092447,3.395260334,7006391
21-02-1995,3.411428221,3.427596108,3.395260334,3.395260334,6253964
22-02-1995,3.41142867,3.459932337,3.395260781,3.443764448,8281625
23-02-1995,3.459932337,3.476100226,3.427596559,3.443764448,15754926
24-02-1995,3.427595604,3.459931374,3.41142772,3.459931374,5377412
27-02-1995,3.459932001,3.476099889,3.362924337,3.362924337,7353559
28-02-1995,3.379091501,3.427595149,3.362923281,3.379091501,10955124
01-03-1995,3.362923154,3.395259255,3.298251626,3.314419508,14704105
02-03-1995,3.314421921,3.314421921,3.233582453,3.282086134,13803439
03-03-1995,3.265915862,3.379091374,3.233580098,3.314419508,7686753
06-03-1995,3.298251867,3.31441975,3.233580335,3.298251867,6595927
07-03-1995,3.265916101,3.3629234,3.249748218,3.298251867,8061049
08-03-1995,3.298254028,3.314421921,3.249750347,3.282086134,9462601
09-03-1995,3.298253276,3.346756946,3.298253276,3.330589056,11203649
10-03-1995,3.362924664,3.459932337,3.346756775,3.443764448,9131325
13-03-1995,3.459931131,3.476099014,3.330587725,3.476099014,4519766
14-03-1995,3.492267656,3.492267656,3.379092447,3.395260334,7272727
15-03-1995,3.411427266,3.411427266,3.330587516,3.379091501,8558648
16-03-1995,3.395260451,3.411428338,3.34675645,3.362924337,4968866
17-03-1995,3.362924836,3.362924836,3.314421166,3.330589056,7286153
20-03-1995,3.314421921,3.330589815,3.26591824,3.282086134,6036676
21-03-1995,3.26591824,3.314421921,3.249750347,3.282086134,7077907
22-03-1995,3.265918988,3.282086886,3.217415296,3.249751091,16105931
23-03-1995,3.233583194,3.249751091,3.201247399,3.249751091,12887704
24-03-1995,3.233580335,3.31441975,3.233580335,3.298251867,15500647
27-03-1995,3.330588562,3.362924337,3.298252787,3.362924337,7288893
28-03-1995,3.362924337,3.395260451,3.362924337,3.362924337,5650324
29-03-1995,3.362924664,3.476100226,3.346756775,3.443764448,9207225
30-03-1995,3.508436615,3.605443967,3.492268723,3.589276075,15962624
31-03-1995,3.492266898,3.556938432,3.459931131,3.476099014,8353963
03-04-1995,3.476099478,3.524603135,3.476099478,3.508435249,6134771
04-04-1995,3.476100226,3.476100226,3.314420997,3.443764448,12066501
